3 CIRCLES LTD [GROUPED]	4860	71
3/4 Cuthberts Close	3216.78	72
30 CHAPEL STREET LTD [GROUPED]	52581.25	73
360 ROPE SOLUTIONS LTD [GROUPED]	1850	74
360 VISION TECHNOLOGY LTD [GROUPED]	2341	75
360 Vision Technology Ltd	17060	76
36th BRADFORD GUIDES	3433	77
3C YORKSHIRE LTD	22005	78
3D PRODUCTIONS LTD	13201	79
3D STORAGE SYSTEMS (UK) LTD	2756.5	80
3D TECHNICAL DESIGN LTD	6745	81
3D VISUALISATION LTD	2800	82
3E Academy	700	83
3FOX INTERNATIONAL LTD	3500	84
3GS (UK) LTD [GROUPED]	1200	85
3M TRAFFIC SAFETY SYSTEMS DIVISION	2250	86
3M UNITED KINDOM PLC	2250	87
3RD BINGLEY SEA SCOUTS	678	88
3WM LTD	526.05	89
3WM Ltd T/A Kid-Eco	584.64	90
