"Sheffield City Council, Thornbridge Outdoors"	700	11
"Slimming World FAO Miles Bramwell, Admin Services"	24602	12
"Steven Wilson, Performance Glass Processing"	6000	13
"Switalskis Limited, Client Account"	5361.86	14
.SPACEKRAFT.CO.UK	883.30	20
S & D Medical Management Ltd	1415.20	15967
S & K LONDON EARS	217.60	15968
S & P Supplies Ltd	49212.28	15969
S & R CARPETS LTD	475.83	15970
S & R Electrical	14204.16	15971
S & S Healthcare re Hazeldene Nursing Home	31487.14	15972
S & W SERVICES (YORKSH	25.90	15973
S & W Services (Yorkshire) Ltd	7464.56	15974
S AND R CARPETS LTD	837.50	15975
S Croudace T/A Button Lodge Nursing & Residential	1404	15976
S D Varley	500	15977
S Divan	104491.44	15978
S Eastwood (Excavations & Contractors) Ltd	21233.40	15979
S Fletcher	1696.58	15980
S Ford Roofing Ltd	9906	15981
S G BAKER LTD [GROUPED]	3066.66	15982
S G Ellis (Electrical Contractors) Ltd	594	15983
S Harrison Village Garden Hut	4318.60	15984
S Hussain T/A Voeux Properties	7110	15985
S I Sealy & Associates Ltd [GROUPED]	9450	15986
S J M Ltd [GROUPED]	30573.54	15987
S J Nutton	504.23	15988
S M HUNTER LOTTERY AC	4.39	15989
S M P - Sports Media Promotions	528.76	15990
S Murray T/A Aegis Design	2500	15991
S P Jennings Ltd t/a S J Software	2315	15992
S Sheard & Son	3658.93	15993
S Slater T/A Headquaters	700	15994
S Voase Builders Ltd	177996.67	15995
S Wadsted & J Frost Joint Administrators Royd Hill	8160	15996
S Woolmore	1186	15997
S-cool Ltd [GROUPED]	11300	15998
S.E Hart t/a Springfield House Retirement Home	2551.60	15999
S230-BLACKWELL	50.97	16000
S3489 KISOK T2 MANCHES	4.20	16001
SACAT MARKS & SPENCER	118.72	16002
SADS UK	2640	16003
SAEBO UK Ltd [GROUPED]	770	16004
SAFE.CO.UK	57.50	16005
SAFEANCHOR.ORG.UK	20	16006
SAFELINCS	293.97	16007
SAFELINCS - SAFETY	72.40	16008
SAFELINKS	165.90	16009
SAFETYKNIFE.NET	59.10	16010
SAFETYLIFTINGEAR	36.15	16011
SAFETYSHOP	466.54	16012
SAFETYSIGNSUP.COUK	82.84	16013
SAFETYSUPPL	59.35	16014
SAGE (UK) LTD	149	16015
SAGRA	15	16016
SAHARA PRESENTATN	1036.32	16017
SAILORS ARMS	20.02	16018
SAINSBURY'S S/MKT	13859.65	16019
SAINSBURYS	65	16020
SAINSBURYS  S/MKT	9.75	16021
SAINSBURYS LOCAL	415	16022
SAINSBURYS PETROL	2481.82	16023
SAINSBURYS S/MKT	8.45	16024
SAINSBURYS S/MKTS	5816.42	16025
SAINSBURYS SMKT	22.08	16026
SAINSBURYS SUPERMA	25.74	16027
SAINSBURYS.CO.UK	535.02	16028
SAKS BEAUTY	30	16029
SAKS BEAUTY HALIFAX	27	16030
SALFORD PROFESSIONAL DEVE	1150.67	16031
SALTHOUSE HARBOUR	188.48	16032
SALTS MILL - SALTS	35.49	16033
SALVIS BAR	8.95	16034
SANCTUARY HOUSING	238.74	16035
SANCTUARYPERSONNEL	752.49	16036
SANDCASTLE WATERPARK	264.75	16037
SANDS BAR  GRILL LTD [GROUPED]	130.75	16038
SANDY LODGE HOTEL	146	16039
SANTA POD RACEWAY	432	16040
SAPORE	151.05	16041
SATISNET LTD	798.25	16042
SAUCE COFFEE SHOP	46.34	16043
SAVERS	10.97	16044
SAVERS HEALTH & BEAUTY	227.87	16045
SAVESUPPLIES.CO.UK	54.94	16046
SAVILE PARK SANDWICH BAR	28.90	16047
SAVILLS (UK) LTD	1.20	16048
SAZ PIZZA AND BALTI HOUSE	177	16049
SB Electronic Systems Ltd	12869	16050
SBK UK LTD	788.74	16051
SCAN COMPUTERS INT LTD	53.31	16052
SCAR LANE FILLING	11.87	16053
SCARBOROUGH BC	5	16054
SCARBOROUGH BC (E)	18.74	16055
SCARBOROUGH BOROUGH CO	8.80	16056
SCARBOROUGH COUNCIL	3.84	16057
SCARMAN	265.65	16058
SCC	294721.89	16059
SCD Group Ltd [GROUPED]	2121.97	16060
SCD Networks Ltd	1131.45	16061
SCHOOL LIBRARY ASSOCIA	176.50	16062
SCHOOLGATEWAY.COM	18.50	16063
SCIENTIFICLABS.CO [GROUPED]	15.42	16064
SCOBIE VENDING	100	16065
SCOPE	727827.41	16066
SCOTKART	264	16067
SCOTTISH WATER BUSINESS S	370.44	16068
SCOTTS	74.17	16069
SCR Envelope Solutions T/A Tower Supplies	789.60	16070
SCREWFIX	2140.24	16071
SCREWFIX BRIGHOUSE	471.47	16072
SCREWFIX DIR LTD	356.35	16073
SCREWFIX DIR. LTD	40	16074
SCREWFIX DIRECT	12641.78	16075
SCREWFIX DIRECT LT	13558.16	16076
SCREWFIX HALIFAX	5717.53	16077
SCREWFIX HUDDERSFI	154.35	16078
SCREWFIX.COM	24.16	16079
SCRIPT MEDIA GROUP	116.66	16080
SCS 100058	5863	16081
SCS 100186	1288.34	16082
SDF Electronics Ltd	7686.10	16083
SEA LIFE CENTRE	300	16084
SEAGATE RECOVERYSVCS	412.40	16085
SEALEY PRODUCTS	10.77	16086
SEALIFE CENTRE	77.51	16087
SEASALT	350	16088
SECCO LTD	14.11	16089
SECRET TEA ROOMS	106.45	16090
SECURE PARKING	8.50	16091
SECURIKEY LIMTED	30.85	16092
SECURITY INDUSTRY	2765	16093
SECURITYMETRICS	11.99	16094
SECURITYMETRICS  INC [GROUPED]	54.98	16095
SECURITYSAFETYPRODUCTS	255.50	16096
SEDDONS PLANT &ENG	221.02	16097
SEDDONS PLANT AND ENGINEE	243.06	16098
SEF Legal Assistance Ltd T/A SEF First Aid Assist	1550	16099
SEJAP          0387497	113.78	16100
SELECT	80.11	16101
SELECT & SAVE	18.41	16102
SELECT AND SAVE	12.19	16103
SELECTA U.K. LTD [GROUPED]	1	16104
SELF INJURY SUPPORT	575.50	16105
SELFRIDGES TRAFFORD CT	48.75	16106
SELFSERVE TICKET	13.50	16107
SEN Press	667.50	16108
SENMAGAZINE.CO.UK	97	16109
SENNHEISER UK LTD	80	16110
SENNHEISER.CO.UK	80	16111
SENSORY DIRECT	511.68	16112
SENSORY TOY WAREHOUSE	69.25	16113
SEP Drainage Surveys Ltd	13529	16114
SEPTIMUS SPARES	17.26	16115
SEQM Ltd	980	16116
SERCO EPC	16.19	16117
SERCO NCS NETWORK	35	16118
SERENATA FLOWERS	82.96	16119
SERENDIPITY	43.90	16120
SET	750	16121
SETON	559.33	16122
SEUK AWARDS	195	16123
SFC SOLUTIONS LTD	192.50	16124
SFRJ Ltd T/A Stars Electrical	542	16125
SFS Fire Services Ltd T/AS Chubb Fire Mechanical	2090.68	16126
SGB Rovacabin	10480	16127
SGM Contracts	3450	16128
SGM Structural Design	588	16129
SGS	146.98	16130
SGS Books	2676.74	16131
SHAAKE	9.95	16132
SHAHI MASALA	95.10	16133
SHAKESPEAR BAR & RESTA	100.75	16134
SHARED LIVES PLUS LIMI	380.96	16135
SHARIF'S	198.33	16136
SHARIFS	161.67	16137
SHARIFS RESTAURANT	209	16138
SHARKCLEAN.EU	208.32	16139
SHARKNINJA EUROPE	172.49	16140
SHARMA COSTCUTTER	45.82	16141
SHAW HARDCASTLE	91.91	16142
SHAWS & SONS LTD [GROUPED]	679.53	16143
SHAY CYCLES	207.40	16144
SHAY GRANGE GOLF CENTR	20	16145
SHAY STADIUM	442.09	16146
SHEARS INN LTD	55.87	16147
SHEESH MAHAL	55.05	16148
SHEETMUSICPLUS.COM	432.47	16149
SHEFFIELD ARENA	267.45	16150
SHEFFIELD CC PARKING O	5.10	16151
SHEFFIELD CITY CNC	102	16152
SHEIN.COM	38.94	16153
SHELF SERVICE STAT	130.93	16154
SHELL BARNSDALR BAR ST	10.40	16155
SHELL BRADFORD ROAD	43.42	16156
SHELL BRIGHOUSE	31.67	16157
SHELL CHSTFLD STH	41.67	16158
SHELL COLLIN   568	11.47	16159
SHELL DARWEN	93.29	16160
SHELL GRAFTON	50.85	16161
SHELL GRISTHWAITE	32.57	16162
SHELL HALEY HILL	247.28	16163
SHELL HALIFAX ROAD	61.86	16164
SHELL HAPSFORD MWS	16.72	16165
SHELL HAWORTH ROAD	77.40	16166
SHELL HUDDERSF 712	47.18	16167
SHELL KIRKSTALL	37.49	16168
SHELL MANCHESTER ROAD	30.90	16169
SHELL ORWELL	68.99	16170
SHELL OSSETT	3.33	16171
SHELL PRESTWICK ROAD	1.15	16172
SHELL RAVENSTHORPE	6.04	16173
SHELL RETFORD	17.72	16174
SHELL ROCHDALE ROAD	129.96	16175
SHELL ROOLEY LANE	3.50	16176
SHELL SALTAIRE	77.10	16177
SHELL SALTERHBL678	2952.70	16178
SHELL SOUTH STREET	12.83	16179
SHELL STANLEY	41.67	16180
SHELL WAKEFIELD ROAD	41.63	16181
SHELLON ENGINEERING LT	532.77	16182
SHELTER	331.17	16183
SHEPPARDS GREENGROCERS	6	16184
SHERE KHAN EXPRESS	51.42	16185
