4 Children	45936.60	511
4 Children (Trading Ltd)	225528.08	512
4 Children Direct Ltd	370108.68	513
4 Lxm Ltd [GROUPED]	4170	514
4 Readiness Ltd	4000	515
4 SITE SECURITY SERVICES LTD	389570.77	516
4 Seasons Design Ltd	5600	517
4 Sight Eyecare	74.99	518
4 Site Security Services Ltd	1346730.78	519
40Seven Ltd	12375	520
42 Lettings Ltd	3133.73	521
42 Property Management	1182	522
4214	10	523
43 North Leeds Scout Group	1500	524
43019695 Costa Coffee	6.05	525
43025045 Costa Coffee	16.85	526
43034095 Costa Coffee	24.33	527
43034765 Costa Coffee	8.10	528
43035580 Costa Coffee	5.25	529
43036390 Costa Coffee	31.75	530
43036430 Costa Coffee	23.11	531
43036570 Costa Coffee	26	532
43036840 Costa Coffee	11.62	533
43038740 Costa Coffee	7.85	534
44034360 London Blackfri	3594.90	535
485 Manchester Traffor	90.08	536
4C Strategies Ltd [GROUPED]	16200	537
4Front Security Ltd	1213	538
4Solutions Ltd [GROUPED]	99481.89	539
4Ten Driving	250	540
4all Disco & Karaoke	260	541
4children	646972.94	542
4children (Trading Ltd)	1376569.25	543
4children (Trading) Ltd	183637.34	544
4d Youth Matter	8500	545
4front Security Ltd	5697.20	546
4global Consulting Ltd [GROUPED]	7952	547
4imprint	3502.98	548
4imprint Direct	827.25	549
4imprint Direct Ltd	4620.71	550
4rail Consulting Ltd	5888	551
4sight Solutions L	210.60	552
4th (St Theresa'S) Crossgates Brownies	400	553
4th Coming Events	500	554
4th Coming Events Entertainment Ltd	1535	555
4th Coming Events Entertainments Ltd	41562.50	556
4th Dimension Technology Ltd	137156.25	557
4th Moor Allerton Brownies	950	558
4th Morley (Gildersome) Scout Group	2930	559
4th Pudsey Scout Group	150	560
4th Roundhay Guides	200	561
4uh Ltd	35.99	562
