I AM REMI LTD	6540	2445
I LIKE THE SOUND OF THAT LTD	1500	2446
I-DASH LTD	3000	2447
I.M. KOHLER	2830.41	2448
I.M. Kohler	53052.61	2449
I4C PUBLICITY LTD [GROUPED]	5115.45	2450
IAN GORDON AND ASSOCIATES	5000	2451
IAN GRIFFITHS T/AEVENT-PHOTOS.CO.UK	540	2452
IASQUARE AND DIALECT LABS	357	2453
IB2I LTD	3800	2454
IBIS BUDGET HOTEL LONDON BARKING	84489.34	2455
IBIS BUDGET LONDON CITY AIRPORT LTD [GROUPED]	90720	2456
IBIS HOTEL	134820	2457
IBM [GROUPED]	17687.66	2458
IBRAHIM HASSAN POET	500	2459
IBRAHIM MAHAMA	7000	2460
IC CONSULTANTS LTD	112980.37	2461
IC WORKS	3115	2462
ICA ENTERPRISES LTD	2860	2463
ICAP	11102.74	2464
ICAP EUROPE LTD [GROUPED]	12057.55	2465
ICAP Europe Ltd [GROUPED]	3397.26	2466
ICC	683	2467
ICENDRIS LTD	26906.28	2468
ICF CONSULTING SERVICES LTD [GROUPED]	154361	2469
ICM RESEARCH LTD [GROUPED]	650535	2470
ICM Research Ltd [GROUPED]	10500	2471
ICON DISPLAY LTD [GROUPED]	4288.70	2472
ICON PRINTING LTD	403.45	2473
ICOULD LTD	9800	2474
ICS COMMUNICATIONS	35590	2475
ID Promotional Services	2500	2476
IDENTITY CREATIVE LTD T/A DIGIISTOR	600	2477
IDM PROPERTY MANAGEMENT LLP	1550253	2478
IDNET	14995	2479
IDOX	814733.68	2480
IDOX SOFTWARE LTD	211724.80	2481
IFF RESEARCH LTD [GROUPED]	24900	2482
IFG ENTERPRISES LTD	1285	2483
IFSE LTD	9950	2484
IGEOLISE LTD [GROUPED]	50000	2485
IGNITE TRUST	10000	2486
IIT BOZEN KONSORTIAL-GMBH	257259.31	2487
IKLECTIK	840	2488
ILKE HOMES LTD	20000	2489
ILLUMINATE PRODUCTIONS LTD	26572	2490
ILLUMINATE ROTHERHITHE	20000	2491
ILX GROUP PLC	1195	2492
IMAGES AT WORK LTD	111641.11	2493
IMAGES&CO LTD	500	2494
IMAGINATORS	38754	2495
IMAGINEASIA LTD BRIX REEL FILM FEST	69972	2496
IMAN ISSA	1000	2497
IMGROUP	26050	2498
IMPACT DANCE LTD [GROUPED]	500	2499
IMPACT DISTRI	1012.50	2500
IMPACT DISTRIBUTION SERVICES LTD	47284.64	2501
IMPACT HUB KINGS CROSS	3000	2502
IMPACT SIGN SOLUTIONS LTD	2950.23	2503
IMPACT VENTURES LLP	2050	2504
IMPERIAL CLG HEALTH CARE PARTERNS	99000	2505
IMPERIAL COLLEGE	621268.02	2506
IMPERIAL COLLEGE HEALTHCARE NHS	3001.98	2507
IMPERIAL COLLEGE LONDON	472940.78	2508
IMPERIAL WAR MUSEUM TRADING CO LTD	182040	2509
IMPEY JAMES MEDIA	2100	2510
IMPROVEMENT AND DEVELOPMENT AGENCY	18619.84	2511
INBAY LTD [GROUPED]	20144.94	2512
INCISIVE BUSINESS MEDIA LTD [GROUPED]	1000	2513
INCISIVE MEDIA LTD	657	2514
INCLUSION EXPERT LTD	1000	2515
INCLUSION LONDON	89225	2516
INCLUSIVE CLASSROOMS LTD [GROUPED]	13600	2517
INDEEMO LTD [GROUPED]	2830	2518
INDEPENDENT FILMS LTD [GROUPED]	6000	2519
INDEPENDENT GLASS CO. LTD [GROUPED]	3835	2520
INDEPENDENT LIVING ALTERNATIVES	42093.52	2521
INDEPENDENT STREET ARTS NETWORK	540	2522
INDEPENDENT TALENT GROUP LIMITED NO	500	2523
INDEPENDENT TALENT GROUP LTD	2500	2524
INDIGO2	120390	2525
INDOAMERICAN REFUGEE & MIGRANT ORG	1980	2526
