P & O D PARTNERS LTD	9990	4133
P CLARKE NEXXT STEP	11000	4134
P D SUGGITT	3000	4135
P&C MEDIA LTD	4800	4136
P&P HOUSE KEEPING LTD [GROUPED]	128949.39	4137
P3 CHARITY	52672.32	4138
PA CONSULTING GROUP [GROUPED]	49900	4139
PACE CHARITABLE TRUST	400	4140
PACE Sports Management SARL	1200	4141
PACIFIC 7 LTD	872	4142
PADDINGTON CHURCHES HA LTD	34599947	4143
PADDINGTON DEVELOPMENT TRUST	372787.76	4144
PADDINGTON WALK LTD [GROUPED]	2631024	4145
PADDINGTON WATERSIDE PARTNERSHIP	10000	4146
PAKFLATT (UK) LTD	92343.96	4147
PALACE COURT HOTEL	139700.88	4148
PALACE COURT HOTEL LTD [GROUPED]	72328.94	4149
PALMA BLACK CONSULTING LTD [GROUPED]	51800	4150
PALOMA VARGA WEISZ	7279.95	4151
PAMELA BUXTON	960	4152
PAN INTERCULTURAL ARTS	103850.40	4153
PANATHLON FOUNDATION LTD [GROUPED]	71950	4154
PANLOGIC LTD	81330.36	4155
PAOLA ART	1000	4156
PAR HILL RESEARCH LTD	24600	4157
PARADIGM HOUSING GROUP LTD [GROUPED]	16550412	4158
PARAGON COMMUNITY HOUSING GROUP LTD	21911166	4159
PARALLEL COLLECTIVE LTD	1500	4160
PARAS 2000 LTD [GROUPED]	5000	4161
PARITY PROFESSIONALS LTD	5785.97	4162
PARK COMMUNICATIONS LTD	27601	4163
PARK HIGH SCHOOL	995	4164
PARK HILL JUNIOR SCHOOL	2924.08	4165
PARK HOTELS MANAGEMENT LIMITED T/A	320	4166
PARK VIEW FOOTBALL CLUB	1500	4167
PARKGATE-ASPEN LTD	1105267	4168
PARKING CONTROL MANAGEMENT UK LTD [GROUPED]	4200	4169
PARKRUN LTD [GROUPED]	17721	4170
PARKS FOR LONDON	82523	4171
PARSONS BRINCKERHOFF LTD	33600	4172
PARSONS MEDIA LTD	1000	4173
PARTICIPATORY CITY FOUNDATION	511616.29	4174
PARTNERSHIP FOR YOUNG LONDON	26466	4175
PARTNERSKAB BRINT BRAENDSELSCELLER	139679.37	4176
PARTRIDGE EVENTS LTD	8695	4177
PARTY INGREDIENTS CATERING	2246	4178
PASCALE MARTHINE TAYOU	1000	4179
PASSION PRINT LTD	46112.85	4180
PATCHWORK FOUNDATION	1448.06	4181
PATERA ENGINEERING LTD [GROUPED]	5750	4182
PATHWAY FIRST LTD [GROUPED]	2312289.87	4183
PATRICK BRILL	1500	4184
PATRICK LACEY LTD T/A ABAKE	600	4185
PATRIDGE EVENTS LTD [GROUPED]	6710	4186
PAUL BRAGMAN C&E REGEN CONSULT. LTD	67260	4187
PAUL HAMLYN FOUNDATION	310000	4188
PAUL ROBERTS	350	4189
PAUL SUTTON LTD	11147.48	4190
PAULA COOPER GALLERY	170672	4191
PAXTON PRIMARY SCHOOL	3000	4192
PAYMENT CARD SOLUTIONS (UK) LTD	202505	4193
PAYSTREAM MY MAX LTD [GROUPED]	6600	4194
PDP TRAINING	2212	4195
PE INTERNATIONAL AG	101641.36	4196
PEABODY COMMUNITY FOUNDATION	85686.12	4197
PEABODY TRUST	403407289.95	4198
PEARL SUPPORT NETWORK	15000	4199
PECKHAM COAL LINE	10000	4200
PECKHAM LIDO CIC	7500	4201
PEDDER & SCAMPTON ARCHITECTS	416.67	4202
PEDDER & SCAMPTON ARCHITECTS LTD	9080	4203
PEER	19000	4204
PEER POINT INTERNET LTD	2750	4205
PEGASUS CHAUFFEUR DRIVE	1100	4206
PELHAM COMMUNICATIONS	5000	4207
PELL FRISCHMANN CONSULTANT LTD	15000	4208
PEMBROKE COLLEGE	197448	4209
PENGUINS	975	4210
PENNA PLC	37238	4211
PENNINGTONS MANCHES LLP	10000	4212
PENNY JONES ARTS AND EDUCATION	2500	4213
PENNY MENDONCA LTD	7125	4214
PENOYRE & PRASAD LLP	600	4215
PENSTONE COMMUNICATIONS LTD	6000	4216
PEOPLE EMPOWERING PEOPLE	20000	4217
PEOPLE MAKE IT WORK LTD	10000	4218
PEOPLE UNTAPPED LTD [GROUPED]	8044	4219
PEOPLE'S HEALTH TRUST	5485.74	4220
PERFORMANCE INTERPRETING LTD	450	4221
