R B KINGSTON UPON THAMES	40748306.19	4098
R. KHURANA	1000	4099
R.B KENSINGTON & CHELSEA	256225.34	4100
R.E.V. GOMM LTD [GROUPED]	567.90	4101
RACHEL SHABI	2100	4102
RACKSPACE LTD	35834.82	4103
RADA BUSINESS	3900	4104
RADA ENTERPRISES LTD	10864.60	4105
RADE NEW MEDIA LTD	25025	4106
RADIO TAXIS GROUP LTD	12838.52	4107
RAFF CREATIVE	7060	4108
RAFFERTYS AND ASSOCIATES LTD [GROUPED]	2304	4109
RAGE FILMS LTD	5000	4110
RAIL FOR LONDON LTD [GROUPED]	7900	4111
RAINBOW GLOBAL NETWORK SOLUTIONS LL	5600	4112
RAINBOW TRANSCRIPTIONS	7598.30	4113
RAMBOLL ENVIRON UK LTD [GROUPED]	7600	4114
RAMBOLL UK LTD	194691.12	4115
RAMFEL	4947	4116
RAMIDUS	117613	4117
RAPID IMPROVEMENT LTD	1004257.74	4118
RAPIDCOM LTD	30000	4119
RAPIDITY	259	4120
RAPLEYS LLP	14411.35	4121
RARRAH LTD	2000	4122
RATHBONE	23972.32	4123
RATHBONE TRAINING	129957.61	4124
RAVENS TENNIS CLUB	1400	4125
RAVENSBOURNE	228140.02	4126
RAVENSIDE INVESTMENTS LTD	645950.37	4127
RAXO	6750	4128
RAXO STUDIOS LTD. INC [GROUPED]	160000	4129
RAY GEORGESON RESOURCES LTD	13000	4130
RAYMOND BROWN CONSTRUCTION	72113.70	4131
RAYS EXECUTIVE DRIVE	270	4132
RAZORBLUE LTD	3000	4133
RBH HOTEL MANAGEMENT - HIEX HOUSE	378000	4134
RBH HOTEL MANAGEMENT LTD	10920	4135
RCKA ARCHITECTS	2000	4136
RCPCH	30000	4137
RCS INCLUSIVE DESIGN CONSULTANCY	6443.37	4138
RCU LTD [GROUPED]	51750	4139
RE (REGIONAL ENTERPRISE LIMITED)	85777	4140
REABILITA LDA	189526.67	4141
REACH & TEACH	227500	4142
REACH PUBLISHING SERVICES LTD [GROUPED]	604.80	4143
REACH VOLUNTEERING	2800	4144
REACHING HIGHER	90027	4145
READING ROOM	11800	4146
REAL ACTION (QPCT) LTD	350000	4147
REALLY LOCAL GROUP	34728.40	4148
REALLY LOCAL GROUP (HAYES) LTD	100000	4149
REAP	16956	4150
REBECCA ACKROYD	1500	4151
RED ANT	8062.50	4152
RED FOX PROJECTS LTD	46599.23	4153
RED GECKO LTD	7640	4154
RED KITE FILMS	972.50	4155
RED OCHRE	2000	4156
RED PENCIL	18050	4157
RED RADISH	789171.12	4158
RED ROOM EVENTS LTD	234950.41	4159
RED STONE DESIGN	6310	4160
REDBRIDGE LONDON BOROUGH COUNCIL	2473673	4161
REDBRIDGECVS	54600	4162
REDCENTRIC	91532.01	4163
REDCENTRIC SOLUTIONS LTD	60871.04	4164
REDEFINE BDL HOTELS	1780.80	4165
REDEFINE HOTEL MANAGEMENT LTD [GROUPED]	75600	4166
REDTHREAD	54960	4167
REDUCTION LTD [GROUPED]	5280	4168
REED AND MACKAY TRAVEL	461729.71	4169
REED BUSINESS INFORMATION	146551.47	4170
REED IN PARTNERSHIP LTD [GROUPED]	1494083.54	4171
REED MIDEM	9069.06	4172
REED SPECIALIST RECRUITMENT LTD	122947.86	4173
REEVES LUND	18000	4174
REFLEKTR PRODUCTIONS LTD	500	4175
REFRESH SPORTS CONSULTANCY & PRODS	350	4176
REFUGE	23806.72	4177
REFUGEE COUNCIL	1000	4178
REFUND TO THIRD PARTIES	6447.80	4179
REGAL LONDON (REGAL WHARF)	25104	4180
REGENERIS CONS T/A HATCH REGENERIS	112898.84	4181
REGENERIS CONSULTING LTD [GROUPED]	404133.79	4182
REGENT'S CONFERENCE & EVENTS LTD [GROUPED]	1418.15	4183
REGUS MANAGEMENT (UK) LTD [GROUPED]	11604	4184
REMARK! LTD	2645	4185
REMARKABLE PRODUCTIONS LTD	2500	4186
REMPLOY LTD [GROUPED]	1018549.27	4187
RENAISI LTD [GROUPED]	20046.74	4188
RENAISSANCE ONE	300	4189
RENEWABLE ENERGY ASSOCIATION	2650	4190
RENFUL PREMIER TECHNOLOGIES	3055	4191
RENTOKIL	1052	4192
RENTOKIL PEST CONTROL UK	1052	4193
REPOWERING LONDON	119255.36	4194
REPUCOM UK & IRELAND LTD [GROUPED]	11000	4195
RESBOAVISTA RESTAURANTE INTERNACIO	4482.73	4196
RESERVE FORCES & CADETS ASSOCIA	67000	4197
RESI HOUSING LTD	5968000	4198
RESIDENT ADVISOR LTD	546.68	4199
RESIDENTIAL LANDLORDS ASSOCIATION	1000	4200
RESOLEX (HOLDINGS) LTD [GROUPED]	17200	4201
RESOURCE FOR LONDON	1040	4202
RESOURCES FOR AUTISM	23527.68	4203
RESTAURANT ASSOCIATES	713.75	4204
RETAIL REVIVAL LTD	12007	4205
RETHINKING CITIES LTD	13375	4206
RETROFIT WORKS	6425012.67	4207
RETTIE & COMPANY LTD	2777.60	4208
RETURN FLIGHT TO BOSTON	865.86	4209
RETURN FLIGHT TO GENOA	377.50	4210
RETURN FLIGHTS FROM BRUSSELS	627.42	4211
RETURN FLIGHTS FROM SOCHI TO MOSCOW	409.39	4212
RETURN FLIGHTS LONDON TO VIENNA	273.61	4213
RETURN FLIGHTS TO MONTPELLIER, FRANCE [GROUPED]	342.04	4214
RETURN TRAIN TRAVEL TO BRUSSELS	831	4215
RETURN TRAIN TRAVEL TO MANCHESTER	712.27	4216
RETURN TRAIN TRAVEL TO RETFORD	707.37	4217
REVEALING REALITY	35430	4218
REVO SERVICE MANAGEMENT LTD	14159.05	4219
REVOLUTION COMMUNICATIONS LTD	3000	4220
REWARD GATEWAY (UK)  LTD	112533.67	4221
REWARD GATEWAY (UK) LTD	469203.97	4222
RFEA THE FORCES EMPLOYMENT CHARITY	96267.83	4223
RG JONES SOUND ENGINEERING LTD	997.50	4224
RG Jones Sound Engineering	638	4225
RGTSA	223198	4226
RHODAR LTD	7510.50	4227
RHYS SPENCE LTD [GROUPED]	1950	4228
RIANA DEVELOPMENT FOUNDATION NETWOR	1500	4229
RIBA LONDON REGION	20000	4230
RICARDO-AEA LTD	165806.60	4231
RICCARDO CRESCENZI	1500	4232
RICH MIX	81265.65	4233
RICHARD BROWN	1750	4234
RICHARD CHALLONER SCHOOL LTD	4280	4235
RICHARD JOHN CLARKE SURVEYORS	260	4236
RICHARD KIMBLIN QC	6660	4237
RICHARD STOKOE	2300	4238
RICHARD SUTTON	2000	4239
RICHARD WALD	12000	4240
RICHMOND  COUNCIL	152212.19	4241
RICHMOND & HILLCROFT A & C COLLEGE	431500	4242
RICHMOND &HILLCROFT ADULT&COMM COLG	4005849	4243
RICHMOND HOUSING PARTNERSHIP	9359600	4244
RICHMOND PARK ACADEMY	490600	4245
RICHMOND UPON THAMES COLLEGE	27616744.01	4246
RICOH UK LTD	128515.46	4247
RICS BUSINESS SERVICES	3870	4248
RICS BUSINESS SERVICES LTD	295	4249
RIDGEWAY PRIMARY SCHOOL	95392	4250
RIGB LTD [GROUPED]	20031.47	4251
RIGHT MANAGEMENT LTD [GROUPED]	1250	4252
RIGS AND GIGS PA HIRE	500	4253
RIIVE	8000	4254
RINOVA LTD	236600	4255
RIO CINEMA	40000	4256
RIO FERDINAND FOUNDATION	9890	4257
RIOSOFT	4000	4258
RISE	23904.48	4259
RITASINGER	900	4260
RITON LTD	600	4261
RIVAL COLOUR LTD	8161.75	4262
RIVERSIDE HOUSING ASSOCIATION LTD	720419	4263
RNIB	1055.80	4264
RNN GROUP	123225	4265
ROAD TRANSPORT MEDIA LTD [GROUPED]	5970	4266
ROADMUNK	33832.67	4267
ROAR Global Ltd [GROUPED]	1500	4268
ROBERT BRAY ASSOCIATES LTD	6319.71	4269
ROBERT CZIBI	823.33	4270
ROBERT WILLIAMS	5520	4271
ROBERT WILLIAMS LEGAL	3096	4272
ROBERTO DANEO	251.39	4273
ROBOTS OF LONDON	2620	4274
ROCHELLE BAR & CANTEEN AT THE ICA	2771.07	4275
ROCK SOLID MEDIA GROUP	4280	4276
ROCKET SCIENCE UK LTD	12240057.91	4277
ROCKETSPACE	1670	4278
RODIN CONSULTING LTD	47100	4279
RODMA	4370370.36	4280
ROFFEY PARK INSTITUTE LTD [GROUPED]	19243.91	4281
ROI TEAM	44625	4282
ROLLADOME ALL SKATE	1500	4283
ROMA SUPPORT GROUP	1473.28	4284
ROMAN PICHLER CONSULTING LED	1100	4285
ROMAN ROAD RESIDENTS AND BUSINESS	5000	4286
ROMFORD CONTEMPORARY ARTS PROG	25174.19	4287
ROOFF LTD [GROUPED]	589108.69	4288
ROOMS OF OUR OWN	46755	4289
ROOTS & SHOOTS	1078.50	4290
ROOTS AND SHOOTS	1128.85	4291
ROOTS RESEARCH LTD	44431.12	4292
RORY HYDE	4600	4293
ROSALIE DEIGHTON	500	4294
ROSCOMMON ASSOCIATION LONDON	1000	4295
ROSE COMMS (UK) LTD T/A RCUK	2860	4296
ROSE GROGAN	13442.16	4297
ROSEHILL TRADERS ASSOCIATION	13000	4298
ROSENDALE PRIMARY SCHOOL	62344	4299
ROSETTA ARTS	11547	4300
ROSLYN OXLEY9 GALLERY PTY LTD	1000	4301
ROSTERFY PTY LTD	26050	4302
ROUNDHOUSE TRUST	29290	4303
ROUTE ONE MGMT	1000	4304
ROWDOWN PRIMARY SCHOOL	1028.61	4305
ROY IKOROHA DESIGN	270	4306
ROYAL AIR FORCE MUSEUM	69390.50	4307
ROYAL BANK OF SCOTLAND	802.50	4308
ROYAL BOR OF KINGSTON UPON THAMES	1054255	4309
ROYAL BOROUGH KENSINGTON & CHELSEA	3150	4310
ROYAL BOROUGH OF GREENWICH	9869749.64	4311
ROYAL BOROUGH OF KENSINGTON & CHELS	7700	4312
ROYAL BOROUGH OF KENSINGTON&CHELSEA	19141886.99	4313
ROYAL BOROUGH OF KINGSTON UPON THAM	6724426.97	4314
ROYAL BRITISH LEGION INDUSTRIES	5100	4315
ROYAL DOCK LEARNING & ACTIVITY CTR	10000	4316
ROYAL DOCKS LEARNING & ACTIVITY CEN	650	4317
ROYAL GEOGRAPHICAL SOCIETY	346887	4318
ROYAL HOLLOWAY UNIVERSITY OF LON	7486	4319
ROYAL INSTITUTION OF CHARTERED SURV	29926	4320
ROYAL MAIL	15507.19	4321
ROYAL NATIONAL THEATRE	5315.95	4322
ROYAL OPERA HOUSE	10000	4323
ROYAL SOCIETY OF ARTS	25500	4324
ROYAL SOCIETY OF CHEMISTRY	318760	4325
ROYAL STATS	409.35	4326
ROYAL TOWN PLANNING INSTITUTE	14636	4327
RPS GROUP PLC	478.50	4328
RS EVENTS & TRAFFIC MANAGEMENT LTD	1790	4329
RSE SPA	125226.41	4330
RSH Audio Ltd	340	4331
RSK ENVIRONMENT LTD [GROUPED]	22151.50	4332
RSM	53240	4333
RSM TENON	85986.87	4334
RSPB	5000	4335
RSPH	214701	4336
RSS (SERVICES) LTD	4722.67	4337
RTPI CONFERENCES	7571	4338
RTPI CONFERENCES (HAWKSMERE LTD)	4330	4339
RUBY CASEY-KNIGHT	400	4340
RUDDOCKS	2899.30	4341
RUKHSANA YAQOOB	10675	4342
RUMI MOSQUE & DIALOGUE CENTRE	8000	4343
RUNNING IMP INTL SPORTS LTD	777	4344
RUNNYMEDE TRUST	29300	4345
RUPERT COHEN	2100	4346
RURAL URBAN SYNTHESIS SOCIETY LTD	859560	4347
RUSHEY GREEN TIME BANK	15000	4348
RUSHMANS LTD	8197.84	4349
RUSKIN COLLEGE	278367	4350
RUSS LTD	185531.11	4351
RW CONSULTING SOLUTIONS LTD	500	4352
Raconteur	1200	4353
Rainbow Transcriptions	860.40	4354
Raxo Studios Ltd Inc	22692.35	4355
Reed and Mackay Travel	12212.75	4356
Regeneris Consulting Ltd [GROUPED]	37934.66	4357
Rock Archive	2000	4358
Roots and Shoots	532.25	4359
Rosalie Deighton	600	4360
Rota	800	4361
Royal College of Nursing	1614.20	4362
Royal National Theatre	800	4363
Rukhsana Yaqoob	1500	4364
Rupert Harris Conservation Ltd	300	4365
THE RESPUBLICA TRUST	307.70	5142
THE RESTART PROJECT	2000	5143
THE RETROFIT ACADEMY CIC	1199	5144
THE ROOTED FORUM	970	5145
THE ROYAL ALBERT HALL	14500	5146
THE ROYAL ASSOCIATION FOR DEAF PEOP	11758	5147
THE ROYAL FOUNDATION OF ST KATHERIN	304	5148
THE ROYAL PARKS	10485.86	5149
THE RUGBY FOOTBALL LEAGUE LTD	37500	5150
The Redmond Community Centre	865	5400
The Restart Project	2105.10	5401
