H & K HEALTHCARE LTD T.A GATEHOUSE PHARM	1120	6792
H & S WILLIAMSON	650	6793
H A S CONSULTANTS LTD	5576.34	6794
H APPLEYARD AND SONS LTD	1146	6795
H BURGIN AND SON LTD	44960	6796
H C SLINGSBY PLC	6270.45	6797
H C WRAY(1995) LTD	1500	6798
H E BARNES (ELECTRICAL) LTD	4000	6799
H F TRUST LTD [GROUPED]	11992401.20	6800
H FURNITURE DESIGN LTD	1420	6801
H HARROLD & SONS LTD	329473.88	6802
H I WELDRICK LTD	10953.06	6803
H JENKINSON AND COMPANY LTD	343487.80	6804
H L BROWN & SON LTD	868.32	6805
H L PLASTICS LTD	7736.52	6806
H M REVENUE & CUSTOMS STAMP DUTY	65928	6807
H MANKEL & SON	4514.39	6808
H N TREES LTD	24916.07	6809
H S JACKSON & SON (FENCING) LTD	1309.54	6810
H S S HIRE SHOPS	1448.15	6811
H W DANSIE LTD	2022.75	6812
H W MARTIN (TRAFFIC MANAGEMENT) LTD	3525	6813
H W MARTIN SAFETY FENCINGLTD	154776.25	6814
H.E. HEELEY ASIAN WOMENS GROUP	7200	6815
H.H.S DECORATING PLASTERING	2000	6816
H.R.SKIP HIRE	229353.55	6817
H2 LEISURE	750	6818
H2O BATHROOM SOLUTIONS LTD	1027.07	6819
H2O CHEMICALS LTD	2070	6820
H2O PIPELINES LTD	1420	6821
H2O SERVICING LTD [GROUPED]	54912.44	6822
H2O SOLAR ENGINEERING LTD	4000	6823
H2O WALL AND FLOOR SOLUTIONS	1420	6824
HABANERO BUSINESS CONSULTING LTD	8000	6825
HABC LTD	4175	6826
HABIA	850	6827
HABLE EDUCATION LTD	500	6828
HACKENTHORPE COMMUNITY CENTRE	3865	6829
HACKENTHORPE DENTAL CENTRE	1500	6830
HACKENTHORPE HALL NURSERY	720566.67	6831
HACKENTHORPE LUNCH CLUB	8947.02	6832
HACKENTHORPE MEDICAL CENTRE	47480	6833
HACKENTHORPE TARA	37471.16	6834
HADDON COURT NURSING HOME	4222002.54	6835
HADFIELD INSTITUTE	3294.50	6836
HADFIELD INSTITUTE LTD	22619.50	6837
HADL SERVICES	665	6838
HADLEIGH HOUSE RESIDENTIAL HOME	6231	6839
HAFAZA LTD	1000	6840
HAFOD CARE ORGANISATION LTD [GROUPED]	12611.08	6841
HAGG LANE & DIST GARDENERS ALLOTMENT SOC	992	6842
HAGGLERS EVENTS LTD T/A HAGGLERS CORNER	1200	6843
HAGMEYER UK LTD	4647.56	6844
HAGS PLAY LTD [GROUPED]	1315.50	6845
HAGS SMP LTD	114200.31	6846
HAGS-SMP LTD [GROUPED]	72472.55	6847
HAGUE PLANT LTD	2046446.09	6848
HAIGHFIELD NURSING HOME	30273.76	6849
HAIR @ SORBY'S LTD	1120	6850
HAIR AT PORTERS	1120	6851
HAIR BY EID	1500	6852
